receipt_no,trx_date,product_name,qty,subtotal,payment_method
DOM-ITEM-JUNE-001,"2026-06-11 15:41:00",Chocolate,4,258000,DEBIT
DOM-ITEM-JUNE-002,"2026-06-11 16:51:00","Matcha Green Tea",2,179000,DEBIT
DOM-ITEM-JUNE-002,"2026-06-11 16:51:00","Salted Egg Pop Chicken",2,211000,DEBIT
DOM-ITEM-JUNE-003,"2026-06-12 11:06:00",Chocolate,4,258000,QRIS
DOM-ITEM-JUNE-003,"2026-06-12 11:06:00","French Fries & Sausage",5,295000,QRIS
DOM-ITEM-JUNE-004,"2026-06-12 10:23:00","French Fries & Sausage",5,295000,DEBIT
DOM-ITEM-JUNE-005,"2026-06-13 12:20:00","DOM's Original",2,118000,DEBIT
DOM-ITEM-JUNE-005,"2026-06-13 12:20:00","Matcha Green Tea",2,179000,DEBIT
DOM-ITEM-JUNE-005,"2026-06-13 12:20:00","DOMS Wings",3,209000,DEBIT
DOM-ITEM-JUNE-006,"2026-06-13 20:43:00","DOM's Original",2,118000,CASH
DOM-ITEM-JUNE-006,"2026-06-13 20:43:00",Chocolate,4,258000,CASH
DOM-ITEM-JUNE-006,"2026-06-13 20:43:00","Matcha Green Tea",2,179000,CASH
DOM-ITEM-JUNE-007,"2026-06-14 12:21:00",Americano,2,93000,QRIS
DOM-ITEM-JUNE-007,"2026-06-14 12:21:00",Chocolate,4,258000,QRIS
DOM-ITEM-JUNE-008,"2026-06-14 16:46:00",Americano,2,93000,CASH
DOM-ITEM-JUNE-009,"2026-06-15 20:53:00",Chocolate,4,258000,DEBIT
DOM-ITEM-JUNE-009,"2026-06-15 20:53:00","Matcha Green Tea",2,179000,DEBIT
DOM-ITEM-JUNE-009,"2026-06-15 20:53:00","Chick N' Matah Rice",3,247000,DEBIT
DOM-ITEM-JUNE-010,"2026-06-15 14:02:00","Kopi Latte",3,177000,DEBIT
DOM-ITEM-JUNE-011,"2026-06-16 13:39:00","DOM's Original",2,118000,QRIS
DOM-ITEM-JUNE-012,"2026-06-17 11:20:00","Kopi Latte",3,177000,DEBIT
DOM-ITEM-JUNE-012,"2026-06-17 11:20:00","Matcha Green Tea",2,179000,DEBIT
DOM-ITEM-JUNE-012,"2026-06-17 11:20:00","French Fries & Sausage",5,295000,DEBIT
DOM-ITEM-JUNE-013,"2026-06-18 12:29:00",Americano,2,93000,CASH
DOM-ITEM-JUNE-014,"2026-06-19 10:35:00","Matcha Green Tea",2,179000,DEBIT
DOM-ITEM-JUNE-015,"2026-06-20 11:40:00","Kopi Latte",3,177000,DEBIT
DOM-ITEM-JUNE-015,"2026-06-20 11:40:00","Chick N' Matah Rice",3,247000,DEBIT
DOM-ITEM-JUNE-015,"2026-06-20 11:40:00","Salted Egg Pop Chicken",2,211000,DEBIT
DOM-ITEM-JUNE-016,"2026-06-20 10:57:00","Kopi Latte",3,177000,QRIS
DOM-ITEM-JUNE-016,"2026-06-20 10:57:00","Salted Egg Pop Chicken",2,211000,QRIS
DOM-ITEM-JUNE-016,"2026-06-20 10:57:00","DOMS Wings",3,209000,QRIS
DOM-ITEM-JUNE-017,"2026-06-21 10:35:00","Kopi Latte",3,177000,DEBIT
DOM-ITEM-JUNE-017,"2026-06-21 10:35:00","Matcha Green Tea",2,179000,DEBIT
DOM-ITEM-JUNE-017,"2026-06-21 10:35:00","Salted Egg Pop Chicken",2,211000,DEBIT
DOM-ITEM-JUNE-018,"2026-06-21 12:10:00",Americano,2,93000,QRIS
DOM-ITEM-JUNE-018,"2026-06-21 12:10:00","Matcha Green Tea",2,179000,QRIS
DOM-ITEM-JUNE-019,"2026-06-22 15:56:00",Americano,2,93000,QRIS
DOM-ITEM-JUNE-019,"2026-06-22 15:56:00","Salted Egg Pop Chicken",2,211000,QRIS
DOM-ITEM-JUNE-019,"2026-06-22 15:56:00","French Fries & Sausage",5,295000,QRIS
DOM-ITEM-JUNE-020,"2026-06-23 20:28:00","Chick N' Matah Rice",3,247000,CASH
DOM-ITEM-JUNE-021,"2026-06-23 16:45:00","DOM's Original",2,118000,QRIS
DOM-ITEM-JUNE-021,"2026-06-23 16:45:00","Salted Egg Pop Chicken",2,211000,QRIS
DOM-ITEM-JUNE-021,"2026-06-23 16:45:00","French Fries & Sausage",5,295000,QRIS
DOM-ITEM-JUNE-022,"2026-06-24 19:38:00","DOM's Original",2,118000,DEBIT
DOM-ITEM-JUNE-023,"2026-06-25 12:58:00","Kopi Latte",3,177000,CASH
DOM-ITEM-JUNE-023,"2026-06-25 12:58:00","Chick N' Matah Rice",3,247000,CASH
DOM-ITEM-JUNE-024,"2026-06-25 13:59:00","Salted Egg Pop Chicken",2,211000,QRIS
DOM-ITEM-JUNE-024,"2026-06-25 13:59:00","DOMS Wings",3,209000,QRIS
