receipt_no,trx_date,total_amount,payment_method
DOM-SIMPLE-JUNE-001,"2026-06-01 12:00:00",150000,QRIS
DOM-SIMPLE-JUNE-002,"2026-06-02 13:30:00",250000,CASH
DOM-SIMPLE-JUNE-003,"2026-06-03 14:15:00",300000,DEBIT
DOM-SIMPLE-JUNE-004,"2026-06-04 18:45:00",180000,QRIS
DOM-SIMPLE-JUNE-005,"2026-06-05 20:00:00",220000,CASH
DOM-SIMPLE-JUNE-006,"2026-06-06 11:00:00",350000,QRIS
DOM-SIMPLE-JUNE-007,"2026-06-07 15:30:00",280000,DEBIT
DOM-SIMPLE-JUNE-008,"2026-06-08 19:10:00",190000,CASH
DOM-SIMPLE-JUNE-009,"2026-06-09 17:00:00",240000,QRIS
DOM-SIMPLE-JUNE-010,"2026-06-10 21:30:00",400000,DEBIT
