receipt_no,trx_date,product_name,qty,subtotal,payment_method
DOM-VAR-202501-0001,"2025-01-01 13:14:00","Salted Egg Pop Chicken",1,35000,DEBIT
DOM-VAR-202501-0002,"2025-01-02 18:04:00","Caramel Latte",1,25000,DEBIT
DOM-VAR-202501-0003,"2025-01-07 14:33:00","Roti Bakar",2,31000,CASH
DOM-VAR-202501-0004,"2025-01-28 19:06:00","Berry Berry Good!",1,29500,DEBIT
DOM-VAR-202501-0004,"2025-01-28 19:06:00","Mr. P! Nuts",1,30000,DEBIT
DOM-VAR-202501-0005,"2025-01-24 17:18:00","Spaghetti Carbonara",1,27500,QRIS
DOM-VAR-202501-0005,"2025-01-24 17:18:00","Bang Nana Yoghurt",2,61500,QRIS
DOM-VAR-202501-0006,"2025-01-02 17:21:00","Roti Bakar",2,31000,DEBIT
DOM-VAR-202501-0006,"2025-01-02 17:21:00","Mayo Karaage Rice",1,31000,DEBIT
DOM-VAR-202501-0007,"2025-01-11 20:39:00","French Fries & Sausage",3,58500,DEBIT
DOM-VAR-202501-0007,"2025-01-11 20:39:00","Lychee Tea",1,19500,DEBIT
DOM-VAR-202501-0008,"2025-01-21 15:45:00","Lemon Tea",1,19500,CASH
DOM-VAR-202501-0008,"2025-01-21 15:45:00","DOMS Wings",3,69000,CASH
DOM-VAR-202501-0009,"2025-01-12 10:09:00",Chocolate,1,21500,CASH
DOM-VAR-202501-0010,"2025-01-27 18:11:00","Candy Cane",1,30000,QRIS
DOM-VAR-202501-0011,"2025-01-27 15:20:00","Ham Spaghetti Brulee",2,59000,QRIS
DOM-VAR-202501-0011,"2025-01-27 15:20:00","Salted Caramel Macchiato",3,85000,QRIS
DOM-VAR-202501-0012,"2025-01-19 12:26:00","Kopi Latte",3,58500,CASH
DOM-VAR-202501-0012,"2025-01-19 12:26:00","Double Shaken Espresso",2,45000,CASH
DOM-VAR-202501-0013,"2025-01-09 12:02:00","Bloody Mary",1,24500,CASH
DOM-VAR-202501-0014,"2025-01-18 16:55:00","Beef Aglio Olio",3,74500,DEBIT
DOM-VAR-202501-0014,"2025-01-18 16:55:00",Saltovino,3,78000,DEBIT
DOM-VAR-202501-0015,"2025-01-26 15:33:00","Double Shaken Espresso",1,22500,QRIS
DOM-VAR-202501-0015,"2025-01-26 15:33:00","Roti Bakar",1,15500,QRIS
DOM-VAR-202501-0016,"2025-01-17 17:09:00","Al Fresco Nachos",2,46000,CASH
DOM-VAR-202501-0016,"2025-01-17 17:09:00","Spaghetti Carbonara",3,81500,CASH
