receipt_no,trx_date,product_name,qty,subtotal
TRX-20260610-0001,"2026-02-09 09:06:16","Zafeer Milktea",3,84000
TRX-20260610-0001,"2026-02-09 09:06:16","Zafeer Milktea",3,84000
TRX-20260610-0001,"2026-02-09 09:06:16","Lychee Tea",1,22000
TRX-20260610-0001,"2026-02-09 09:06:16","Ayam Chili Padi",4,152000
TRX-20260610-0001,"2026-02-09 09:06:16",Americano,1,20000
TRX-20260610-0002,"2026-05-04 19:49:13","Nasi Goreng DOM",4,160000
TRX-20260610-0002,"2026-05-04 19:49:13","Mix Platter",2,70000
TRX-20260610-0002,"2026-05-04 19:49:13","Matcha Latte",1,30000
TRX-20260610-0002,"2026-05-04 19:49:13","Lychee Tea",1,22000
TRX-20260610-0003,"2026-01-26 16:42:14","Lychee Tea",4,88000
TRX-20260610-0003,"2026-01-26 16:42:14","Nasi Goreng DOM",2,80000
TRX-20260610-0003,"2026-01-26 16:42:14","Ayam Chili Padi",4,152000
TRX-20260610-0004,"2026-03-03 15:55:48","Lychee Tea",3,66000
TRX-20260610-0004,"2026-03-03 15:55:48","Nasi Goreng DOM",4,160000
TRX-20260610-0005,"2026-05-03 20:57:02","Caramel Macchiato",4,128000
TRX-20260610-0006,"2026-03-02 16:13:48","Matcha Latte",3,90000
TRX-20260610-0006,"2026-03-02 16:13:48","Lychee Tea",4,88000
TRX-20260610-0006,"2026-03-02 16:13:48","Lychee Tea",2,44000
TRX-20260610-0007,"2026-05-21 17:35:56","Lychee Tea",1,22000
TRX-20260610-0007,"2026-05-21 17:35:56","Mix Platter",1,35000
TRX-20260610-0007,"2026-05-21 17:35:56","Lychee Tea",3,66000
TRX-20260610-0008,"2026-02-24 21:55:40","Caramel Macchiato",3,96000
TRX-20260610-0008,"2026-02-24 21:55:40","Matcha Latte",4,120000
TRX-20260610-0008,"2026-02-24 21:55:40","Matcha Latte",4,120000
TRX-20260610-0008,"2026-02-24 21:55:40","Kopi Susu DOM",1,25000
TRX-20260610-0008,"2026-02-24 21:55:40","French Fries",1,25000
TRX-20260610-0009,"2026-01-10 05:18:40","Kopi Susu DOM",4,100000
TRX-20260610-0009,"2026-01-10 05:18:40","Kopi Susu DOM",2,50000
TRX-20260610-0009,"2026-01-10 05:18:40","Lychee Tea",4,88000
TRX-20260610-0009,"2026-01-10 05:18:40","Matcha Latte",4,120000
TRX-20260610-0009,"2026-01-10 05:18:40","French Fries",2,50000
TRX-20260610-0010,"2026-05-16 13:08:22","Spaghetti Aglio Olio",3,135000
TRX-20260610-0011,"2026-03-25 11:05:12","Mix Platter",4,140000
TRX-20260610-0011,"2026-03-25 11:05:12","Ayam Chili Padi",3,114000
TRX-20260610-0011,"2026-03-25 11:05:12","Spaghetti Aglio Olio",2,90000
TRX-20260610-0011,"2026-03-25 11:05:12","Spaghetti Aglio Olio",2,90000
TRX-20260610-0011,"2026-03-25 11:05:12","Spaghetti Aglio Olio",1,45000
TRX-20260610-0012,"2026-05-19 14:53:44","French Fries",4,100000
TRX-20260610-0013,"2026-04-22 19:14:06","Mix Platter",3,105000
TRX-20260610-0013,"2026-04-22 19:14:06","French Fries",3,75000
TRX-20260610-0014,"2026-04-18 08:28:47",Americano,2,40000
TRX-20260610-0015,"2026-01-01 23:00:15","Spaghetti Aglio Olio",1,45000
TRX-20260610-0015,"2026-01-01 23:00:15","Spaghetti Aglio Olio",1,45000
TRX-20260610-0016,"2026-03-23 21:34:44","Lychee Tea",2,44000
TRX-20260610-0017,"2026-03-19 01:21:04","Matcha Latte",4,120000
TRX-20260610-0017,"2026-03-19 01:21:04","Mix Platter",3,105000
